CreationDate,UserIds,Operations,AuditData,ResultStatus,RecordType
2026-06-01T08:20:00Z,june.park@northstar.example,Send,"{""CreationTime"":""2026-06-01T08:20:00Z"",""Id"":""c96a896f-0384-4f07-b416-c306d344c8ff"",""Operation"":""Send"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""june.park@northstar.example"",""UserId"":""june.park@northstar.example"",""ClientIP"":""203.0.113.41"",""Workload"":""AzureActiveDirectory"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1010.docx"",""DeviceName"":""WS-HR-1180"",""UserAgent"":""Outlook-iOS/4.0"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""june.park@northstar.example""}]}",Succeeded,SharePointFileOperation
2026-06-01T08:22:00Z,owen.reed@northstar.example,MailboxLogin,"{""CreationTime"":""2026-06-01T08:22:00Z"",""Id"":""6064e7ae-a83e-4997-add3-44042817abfd"",""Operation"":""MailboxLogin"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""owen.reed@northstar.example"",""UserId"":""owen.reed@northstar.example"",""ClientIP"":""198.51.100.22"",""Workload"":""MicrosoftTeams"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1011.docx"",""DeviceName"":""VDI-CALL-0902"",""UserAgent"":""PowerShell/7.4"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""owen.reed@northstar.example""}]}",Failed,Teams
2026-06-01T08:24:00Z,nina.patel@northstar.example,Set-Mailbox,"{""CreationTime"":""2026-06-01T08:24:00Z"",""Id"":""7bc0ff44-c27b-4a62-a1a2-49ae3fd52eb4"",""Operation"":""Set-Mailbox"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""nina.patel@northstar.example"",""UserId"":""nina.patel@northstar.example"",""ClientIP"":""192.0.2.77"",""Workload"":""Exchange"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1012.docx"",""DeviceName"":""SRV-APP-014"",""UserAgent"":""Mozilla/5.0 Edge/124"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""nina.patel@northstar.example""}]}",Succeeded,AzureActiveDirectory
2026-06-01T08:26:00Z,sam.ko@northstar.example,TeamsSessionStarted,"{""CreationTime"":""2026-06-01T08:26:00Z"",""Id"":""71eccee7-aa83-4c71-a2fb-9e09b76d7cd9"",""Operation"":""TeamsSessionStarted"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""sam.ko@northstar.example"",""UserId"":""sam.ko@northstar.example"",""ClientIP"":""203.0.113.88"",""Workload"":""SharePoint"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1013.docx"",""DeviceName"":""SRV-SQL-022"",""UserAgent"":""Teams/24215"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""sam.ko@northstar.example""}]}",Succeeded,ExchangeItem
2026-06-01T08:28:00Z,lina.chen@northstar.example,UserLoggedIn,"{""CreationTime"":""2026-06-01T08:28:00Z"",""Id"":""5611939e-6fc8-4003-b257-8863f510c729"",""Operation"":""UserLoggedIn"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""lina.chen@northstar.example"",""UserId"":""lina.chen@northstar.example"",""ClientIP"":""10.240.18.77"",""Workload"":""AzureActiveDirectory"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1014.docx"",""DeviceName"":""MAC-MKT-7781"",""UserAgent"":""Outlook-iOS/4.0"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""lina.chen@northstar.example""}]}",Failed,SharePointFileOperation
2026-06-01T08:30:00Z,eli.wright@northstar.example,FileAccessed,"{""CreationTime"":""2026-06-01T08:30:00Z"",""Id"":""bc5a48e4-1ef7-447f-9928-c240df562caa"",""Operation"":""FileAccessed"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""eli.wright@northstar.example"",""UserId"":""eli.wright@northstar.example"",""ClientIP"":""10.10.22.45"",""Workload"":""MicrosoftTeams"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1015.docx"",""DeviceName"":""LT-ENG-5520"",""UserAgent"":""PowerShell/7.4"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""eli.wright@northstar.example""}]}",Succeeded,Teams
2026-06-01T08:32:00Z,veda.morris@northstar.example,Add member to role,"{""CreationTime"":""2026-06-01T08:32:00Z"",""Id"":""c7003c0d-7092-4c40-b0c0-137e50501bbe"",""Operation"":""Add member to role"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""veda.morris@northstar.example"",""UserId"":""veda.morris@northstar.example"",""ClientIP"":""172.20.5.14"",""Workload"":""Exchange"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1016.docx"",""DeviceName"":""LT-FIELD-4412"",""UserAgent"":""Mozilla/5.0 Edge/124"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""veda.morris@northstar.example""}]}",Succeeded,AzureActiveDirectory
2026-06-01T08:34:00Z,marco.silva@northstar.example,Send,"{""CreationTime"":""2026-06-01T08:34:00Z"",""Id"":""768f7698-c9a5-4ba7-b0ef-f64d399f4d22"",""Operation"":""Send"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""marco.silva@northstar.example"",""UserId"":""marco.silva@northstar.example"",""ClientIP"":""192.168.42.91"",""Workload"":""SharePoint"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1017.docx"",""DeviceName"":""LT-FIN-2033"",""UserAgent"":""Teams/24215"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""marco.silva@northstar.example""}]}",Failed,ExchangeItem
2026-06-01T08:36:00Z,june.park@northstar.example,MailboxLogin,"{""CreationTime"":""2026-06-01T08:36:00Z"",""Id"":""1bfdf6bc-f9ac-454e-a1ed-6500b93ececd"",""Operation"":""MailboxLogin"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""june.park@northstar.example"",""UserId"":""june.park@northstar.example"",""ClientIP"":""10.50.88.12"",""Workload"":""AzureActiveDirectory"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1018.docx"",""DeviceName"":""WS-HR-1180"",""UserAgent"":""Outlook-iOS/4.0"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""june.park@northstar.example""}]}",Succeeded,SharePointFileOperation
2026-06-01T08:38:00Z,owen.reed@northstar.example,Set-Mailbox,"{""CreationTime"":""2026-06-01T08:38:00Z"",""Id"":""45034813-8f02-4a9f-8db2-02724f83e577"",""Operation"":""Set-Mailbox"",""OrganizationId"":""d851b527-0ab3-5c06-96a2-389f0762a4de"",""UserKey"":""owen.reed@northstar.example"",""UserId"":""owen.reed@northstar.example"",""ClientIP"":""172.16.19.200"",""Workload"":""MicrosoftTeams"",""ObjectId"":""https://northstar.sharepoint.com/sites/Claims/Documents/case-1019.docx"",""DeviceName"":""VDI-CALL-0902"",""UserAgent"":""PowerShell/7.4"",""Parameters"":[{""Name"":""Mailbox"",""Value"":""owen.reed@northstar.example""}]}",Succeeded,Teams
